Enzyme,Bag ID,nmol_per_ml,SampleID,wet.wt,dry.wt,perc.moist,perc.dry,enz.raw,enz.wt,volume,activity
dopa,AS149,-0.000425237,AS149,3.21,1.020833333,0,1,0.3295,0.3295,125,-0.161319174
dopa,CO22,0.005636867,CO22,4.28,10.4528,0.636363636,0.363636364,0.3303,0.120109091,125,5.866403452
dopa,QR132,0.015812896,QR132,3.18,2.306137566,0.090909091,0.909090909,0.2232,0.202909091,125,9.741367114
h2o2,AS149,0.009681566,AS149,3.21,1.020833333,0,1,0.3295,0.3295,125,3.672824907
h2o2,CO22,0.006892801,CO22,4.28,10.4528,0.636363636,0.363636364,0.3303,0.120109091,125,7.173479309
h2o2,QR132,-0.002798655,QR132,3.18,2.306137566,0.090909091,0.909090909,0.2232,0.202909091,125,-1.724081859
dopa,AS121,0.004786392,AS121,4.29,3.7525,0,1,0.1885,0.1885,125,3.174000269
dopa,CO194,0.003787579,CO194,2.01,0.510277778,0.23076923,0.76923077,0.2001,0.153923077,125,3.075870093
dopa,QR8,0.001157041,QR8,5.28,3.654135338,0,1,0.2876,0.2876,125,0.502886448
h2o2,AS121,0.004736946,AS121,4.29,3.7525,0,1,0.1885,0.1885,125,3.14121101
h2o2,CO194,0.001443829,CO194,2.01,0.510277778,0.23076923,0.76923077,0.2001,0.153923077,125,1.172524892
h2o2,QR8,0.000178006,QR8,5.28,3.654135338,0,1,0.2876,0.2876,125,0.077367146
dopa,AS193,0.016979826,AS193,4.35,2.572712418,0.125,0.875,0.2854,0.249725,125,8.499262163
dopa,CO50,0.000623022,CO50,3.43,4.979341564,0.741935484,0.258064516,0.2686,0.069316129,125,1.123515841
dopa,QR85,0.004499604,QR85,5.14,9.117746114,0.7,0.3,0.2491,0.07473,125,7.526435886
h2o2,AS193,-0.01133307,AS193,4.35,2.572712418,0.125,0.875,0.2854,0.249725,125,-5.672774862
h2o2,CO50,0.009236551,CO50,3.43,4.979341564,0.741935484,0.258064516,0.2686,0.069316129,125,16.65656819
h2o2,QR85,0.013132911,QR85,5.14,9.117746114,0.7,0.3,0.2491,0.07473,125,21.96726782
dopa,QR73,0.006922468,QR73,2.62,1.152537313,0.428571428,0.571428572,0.2944,0.168228572,125,5.143647919
dopa,QR156,0.010690269,QR156,2.49,0.3885,0.090909091,0.909090909,0.1861,0.169181818,125,7.898506111
dopa,CO85,0.002096519,CO85,2.05,0.548571429,0.181818182,0.818181818,0.2653,0.217063636,125,1.207318178
h2o2,QR73,0.002373418,QR73,2.62,1.152537313,0.428571428,0.571428572,0.2944,0.168228572,125,1.763536429
h2o2,QR156,-0.015476661,QR156,2.49,0.3885,0.090909091,0.909090909,0.1861,0.169181818,125,-11.43493253
h2o2,CO85,-0.037905459,CO85,2.05,0.548571429,0.181818182,0.818181818,0.2653,0.217063636,125,-21.82854045
