Bag ID,Enzyme,nmol_per_ml,SampleID,wet.wt,dry.wt,perc.moist,perc.dry,enz.raw,enz.wt,volume,activity
AS65,phos,9.263322946,AS65,3.95,3.202406015,0.142857143,0.857142857,0.1903,0.163114286,125,7098.798006
QR51,phos,9.581511016,QR51,3.91,3.480916031,0.111111111,0.888888889,0.18903,0.168026667,125,7127.969021
CO161,phos,2.028769039,CO161,4.03,4.299781818,0.375,0.625,0.236,0.1475,125,1719.295796
AS65,bglu,6.531951096,AS65,3.95,3.202406015,0.142857143,0.857142857,0.1903,0.163114286,125,5005.65528
QR51,bglu,12.29353497,QR51,3.91,3.480916031,0.111111111,0.888888889,0.18903,0.168026667,125,9145.523732
CO161,bglu,4.655110036,CO161,4.03,4.299781818,0.375,0.625,0.236,0.1475,125,3945.008505
AS65,lap,-0.046441459,AS65,3.95,3.202406015,0.142857143,0.857142857,0.1903,0.163114286,125,-35.58966271
QR51,lap,0.006434215,QR51,3.91,3.480916031,0.111111111,0.888888889,0.18903,0.168026667,125,4.786602571
CO161,lap,0.169768494,CO161,4.03,4.299781818,0.375,0.625,0.236,0.1475,125,143.8716048
AS65,nag,5.631780857,AS65,3.95,3.202406015,0.142857143,0.857142857,0.1903,0.163114286,125,4315.824349
QR51,nag,3.816161184,QR51,3.91,3.480916031,0.111111111,0.888888889,0.18903,0.168026667,125,2838.955009
CO161,nag,2.440324244,CO161,4.03,4.299781818,0.375,0.625,0.236,0.1475,125,2068.071394
AS65,bxyl,0.113253557,AS65,3.95,3.202406015,0.142857143,0.857142857,0.1903,0.163114286,125,86.7900349
QR51,bxyl,0.447416047,QR51,3.91,3.480916031,0.111111111,0.888888889,0.18903,0.168026667,125,332.8460112
CO161,bxyl,0.211606085,CO161,4.03,4.299781818,0.375,0.625,0.236,0.1475,125,179.3271904
AS65,bcell,0.999630323,AS65,3.95,3.202406015,0.142857143,0.857142857,0.1903,0.163114286,125,766.0505611
QR51,bcell,1.994058286,QR51,3.91,3.480916031,0.111111111,0.888888889,0.18903,0.168026667,125,1483.438851
CO161,bcell,1.520708867,CO161,4.03,4.299781818,0.375,0.625,0.236,0.1475,125,1288.736328
CO157,phos,2.812976816,CO157,4,3.669087591,0,1,0.1603,0.1603,125,2193.525278
AS41,phos,9.144792323,AS41,4.02,2.702324723,0.428571429,0.571428571,0.1986,0.113485714,125,10072.625
CO10,phos,2.474103047,CO10,4,3.499191176,0,1,0.159,0.159,125,1945.049565
CO157,bglu,10.52073607,CO157,4,3.669087591,0,1,0.1603,0.1603,125,8203.942659
AS41,bglu,10.92907106,AS41,4.02,2.702324723,0.428571429,0.571428571,0.1986,0.113485714,125,12037.93707
CO10,bglu,13.63883328,CO10,4,3.499191176,0,1,0.159,0.159,125,10722.35321
CO157,lap,0.032724868,CO157,4,3.669087591,0,1,0.1603,0.1603,125,25.51845638
AS41,lap,0.018046245,AS41,4.02,2.702324723,0.428571429,0.571428571,0.1986,0.113485714,125,19.87722123
CO10,lap,-0.021722009,CO10,4,3.499191176,0,1,0.159,0.159,125,-17.07705139
CO157,nag,3.633605148,CO157,4,3.669087591,0,1,0.1603,0.1603,125,2833.44132
AS41,nag,5.994283984,AS41,4.02,2.702324723,0.428571429,0.571428571,0.1986,0.113485714,125,6602.465382
