SampleID	wet.wt	dry.wt	perc.moist	perc.dry	enz.raw	enz.wt	volume
CO3	3.89	2.122230769	0.125	0.875	0.2885	0.2524375	125
CO4	2.35	0.836635514	0	1	0.2516	0.2516	125
CO5	3.11	2.190883978	0.153846154	0.846153846	0.3501	0.296238461	125
CO6	3.22	2.229639175	0.25	0.75	0.2846	0.21345	125
CO7	4.49	4.088909657	0.5	0.5	0.22574	0.11287	125
CO8	3.65	1.924957627	0.266666667	0.733333333	0.239	0.175266667	125
CO9	1.58	0.054285714	0.666666667	0.333333333		0	125
CO10	4	3.499191176	0	1	0.159	0.159	125
CO11	3.78	0.823306452	0.333333333	0.666666667	0.5566	0.371066667	125
CO12	4.47	3.5953125	0.125	0.875	0.1815	0.1588125	125
CO13	2.15	1.711363636	0.642857143	0.357142857	0.2145	0.076607143	125
CO14			#DIV/0!	#DIV/0!		#DIV/0!	125
CO15	3.99	5.823431734	0.705882353	0.294117647	0.3311	0.097382353	125
CO16	4.12	2.634893617	0	1	0.18014	0.18014	125
CO17	4.66	4.915502959	0.833333333	0.166666667	0.2843	0.047383333	125
CO18	1.88	0.259180328	0.545454545	0.454545455	0.1581	0.071863636	125
CO19	3.15	1.276470588	0.176470588	0.823529412	0.3097	0.255047059	125
CO20	3.87	1.2553125	0.75	0.25	0.4409	0.110225	125
CO21	1.54	0.08	0.625	0.375		0	125
CO22	4.28	10.4528	0.636363636	0.363636364	0.3303	0.120109091	125
CO23	4.65	2.271160714	-0.111111111	1.111111111	0.3193	0.354777778	125
CO24	3.19	1.685863874	0.565217391	0.434782609	0.2731	0.11873913	125
CO25	4.24	7.25877551	0.529411765	0.470588235	0.3952	0.185976471	125
CO26	2.07	0.377532468	0.076923079	0.923076921	0.1837	0.16956923	125
CO27			#DIV/0!	#DIV/0!		#DIV/0!	125
CO28	2.29	0.323195876	0.818181817	0.181818183	0.1848	0.0336	125
CO29	4.46	2.060314465	0.117647059	0.882352941	0.2946	0.259941176	125
CO30	4.27	3.369899666	-0.2	1.2	0.18035	0.21642	125
CO31	2.14	0.504186047	0.42857143	0.57142857	0.3541	0.202342857	125
CO32	4.14	4.86271777	0.444444444	0.555555556	0.225	0.125	125
CO33	2.99	2.671005917	0.272727273	0.727272727	0.2313	0.168218182	125
CO34	4.15	4.812832168	0.25	0.75	0.2916	0.2187	125
CO35	3.98	2.638888889	0.2	0.8	0.2864	0.22912	125
CO36			#DIV/0!	#DIV/0!		#DIV/0!	125
CO37	2.64	0.789705882	0.222222222	0.777777778	0.2109	0.164033333	125
CO38	4.39	2.456278317	0.388888889	0.611111111	0.2581	0.157727778	125
CO39	3.59	1.658608696	0.368421053	0.631578947	0.2787	0.176021053	125
CO40	3.47	9.766451613	0.862068966	0.137931034	0.3875	0.053448276	125
CO41	4.06	3.686546763	0.444444444	0.555555556	0.2993	0.166277778	125
CO42	2.99	2.044	0.076923077	0.923076923	0.2342	0.216184615	125
CO43			#DIV/0!	#DIV/0!		#DIV/0!	125
CO44	4.11	3.565531915	0.5	0.5	0.2657	0.13285	125
CO45	2.15	1.486860465	0.117647058	0.882352942	0.2556	0.225529412	125
CO46	3.18	1.394444444	0.071428571	0.928571429	0.224	0.208	125
CO47	4.26	5.900204082	0.5	0.5	0.6065	0.30325	125
CO48	4.38	2.904387097	0.5	0.5	0.2214	0.1107	125
CO49	4.24	3.528338983	0.857142857	0.142857143	0.28911	0.041301429	125
CO50	3.43	4.979341564	0.741935484	0.258064516	0.2686	0.069316129	125
CO51	6.3	7.099601594	0.1	0.9	0.28522	0.256698	125
