"Enzyme","Sample","nmol_per_ml","SampleID","wet.wt","dry.wt","perc.moist","perc.dry","enz.raw","enz.wt","volume","activity"
"lap","QR7","1.19444444444444","QR7",3.22,2.8209375,"0.1","0.9",0.2204,"0.19836",125,752.699917097978
"lap","CO111","0.0302926383173297","CO111",2.92,0.930184049,"0.076923077","0.923076923",0.2491,"0.229938462",125,16.4677964561936
"lap","QR37","0.0401467089611419","QR37",3.51,1.977678571,"0.111111111","0.888888889",0.3282,"0.291733333",125,17.201800591442
"nag","QR7","1.10069302894415","QR7",3.22,2.8209375,"0.1","0.9",0.2204,"0.19836",125,693.620833928306
"nag","CO111","2.21235795454545","CO111",2.92,0.930184049,"0.076923077","0.923076923",0.2491,"0.229938462",125,1202.69024117497
"nag","QR37","3.35489435101337","QR37",3.51,1.977678571,"0.111111111","0.888888889",0.3282,"0.291733333",125,1437.48329875171
"bxyl","QR7","0.18860188601886","QR7",3.22,2.8209375,"0.1","0.9",0.2204,"0.19836",125,118.850754952397
"bxyl","CO111","0.190132605304212","CO111",2.92,0.930184049,"0.076923077","0.923076923",0.2491,"0.229938462",125,103.360592465938
"bxyl","QR37","0.370493991989319","QR37",3.51,1.977678571,"0.111111111","0.888888889",0.3282,"0.291733333",125,158.746854610079
"bcell","QR7","0.600655611261087","QR7",3.22,2.8209375,"0.1","0.9",0.2204,"0.19836",125,378.513568298225
"bcell","CO111","0.646459227467811","CO111",2.92,0.930184049,"0.076923077","0.923076923",0.2491,"0.229938462",125,351.430564206681
"bcell","QR37","1.48260965883917","QR37",3.51,1.977678571,"0.111111111","0.888888889",0.3282,"0.291733333",125,635.258938185498
"phos","AS77","2.44143292362643","AS77",3.23,1.731139896,"0.1","0.9",0.3304,"0.29736",125,1026.29511519136
"phos","QR197","3.52947123647761","QR197",3.13,2.127567568,"0","1",0.3537,"0.3537",125,1247.33928345972
"phos","QR146","1.262341325811","QR146",3.07,1.097206704,"0.181818182","0.818181818",0.02577,"0.021084545",125,7483.80701250015
"bglu","AS77","5.39047023250964","AS77",3.23,1.731139896,"0.1","0.9",0.3304,"0.29736",125,2265.96979776602
"bglu","QR197","3.15031290589208","QR197",3.13,2.127567568,"0","1",0.3537,"0.3537",125,1113.342135246
"bglu","QR146","2.73974036850921","QR146",3.07,1.097206704,"0.181818182","0.818181818",0.02577,"0.021084545",125,16242.5865041741
"lap","AS77","0.0909870426829268","AS77",3.23,1.731139896,"0.1","0.9",0.3304,"0.29736",125,38.2478488544722
