"Enzyme","Sample","nmol_per_ml","SampleID","wet.wt","dry.wt","perc.moist","perc.dry","enz.raw","enz.wt","volume","activity"
"phos","AS175","12.5877903835764","AS175",3.9,3.027181467,"0.333333333","0.666666667",0.2557,"0.170466667",125,9230.38987995847
"phos","QR47","3.04740957966764","QR47",4.03,3.74,"0","1",0.1434,"0.1434",125,2656.38910361545
"bglu","AS28","7.88040712468193","AS28",5.34,2.420965347,"0","1",0.2692,"0.2692",125,3659.17864259005
"bglu","AS175","17.6375404530744","AS175",3.9,3.027181467,"0.333333333","0.666666667",0.2557,"0.170466667",125,12933.276607293
"bglu","QR47","2.9070364663585","QR47",4.03,3.74,"0","1",0.1434,"0.1434",125,2534.02760317164
"lap","AS28","0.0733333333333333","AS28",5.34,2.420965347,"0","1",0.2692,"0.2692",125,34.051510648836
"lap","AS175","0.033321325648415","AS175",3.9,3.027181467,"0.333333333","0.666666667",0.2557,"0.170466667",125,24.4339012391899
"lap","QR47","0.0429042904290429","QR47",4.03,3.74,"0","1",0.1434,"0.1434",125,37.3991374032801
"nag","AS28","1.93886539816772","AS28",5.34,2.420965347,"0","1",0.2692,"0.2692",125,900.290396623198
"nag","AS175","5.19626364399664","AS175",3.9,3.027181467,"0.333333333","0.666666667",0.2557,"0.170466667",125,3810.32237522178
"nag","QR47","1.31573275862069","QR47",4.03,3.74,"0","1",0.1434,"0.1434",125,1146.90791372096
"bxyl","AS28","0.146348531684699","AS28",5.34,2.420965347,"0","1",0.2692,"0.2692",125,67.9552988877688
"bxyl","AS175","0.613512593601089","AS175",3.9,3.027181467,"0.333333333","0.666666667",0.2557,"0.170466667",125,449.877243157081
"bxyl","QR47","0.108601841196778","QR47",4.03,3.74,"0","1",0.1434,"0.1434",125,94.6668769149041
"bcell","AS28","2.12062652563059","AS28",5.34,2.420965347,"0","1",0.2692,"0.2692",125,984.689137087012
"bcell","AS175","4.70371804802479","AS175",3.9,3.027181467,"0.333333333","0.666666667",0.2557,"0.170466667",125,3449.14795572966
"bcell","QR47","0.295549374130737","QR47",4.03,3.74,"0","1",0.1434,"0.1434",125,257.626720825259
"phos","QR36","4.99772313296903","QR36",5.28,3.752380952,"0.125","0.875",0.317,"0.277375",125,2252.24115951736
"phos","CO128","3.65398956002983","CO128",3.99,3.440848708,"0","1",0.2168,"0.2168",125,2106.77442344893
"phos","QR204","12.5841401567543","QR204",4.15,3.587237762,"0","1",0.204,"0.204",125,7710.87019408965
"bglu","QR36","4.84728631070094","QR36",5.28,3.752380952,"0.125","0.875",0.317,"0.277375",125,2184.44628693147
"bglu","CO128","10.5235726131249","CO128",3.99,3.440848708,"0","1",0.2168,"0.2168",125,6067.55801033493
