Bag ID,Species,Date Deployed,Date Collected,Date Processsed,Harvest,Time.mo,Bag weight,InitialLeafWeight,TotalLeafWeight,Tin #,EmptyTinWght,WetLeafTin,DryLeafTin,AFDMTin,LeafTinAFDM,AFDMLeafTinAshed,DryWeightTin,TotDryWeight,perc.moist,soilg,dryweightsoil,PropInitial,perc.dry,enz.raw,enz.wt
CO166,CAROVA,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,7.32,5.05,0.79,42,1.27,2.04,1.41,1.29,1.42,1.35,0.14,0.143636364,0.461538465,0.066293706,0.077342657,0.008246742,0.538461535,,0
CO167,CAROVA,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,7.17,5.09,1.32,243,1.28,1.91,1.49,1.29,1.4,1.32,0.21,0.44,0.272727273,0.12,0.32,0.04572245,0.727272727,0.2296,0.166981818
CO168,CAROVA,19-Dec-17,18-Jan-19,22-Jan-19,H2,1.0,6.89,4.95,23.98,5,1.29,4.29,1.74,1.27,1.39,1.31,0.45,3.597,0.333333333,1.199,2.398,0.322962963,0.666666667,0.6407,0.427133333
CO169,CAROVA,19-Dec-17,16-Jun-19,17-Jun-19,H3,1.5,7.38,4.93,5.48,123,1.28,2.56,1.52,1.29,1.38,1.31,0.24,1.0275,0.222222222,0.228333333,0.799166667,0.126079934,0.777777778,0.21,0.163333333
CO17,CAROVA,19-Dec-17,24-Jun-19,24-Jun-19,H3,1.5,6.85,5.04,12.98,97,1.28,4.66,2.56,1.29,1.89,1.79,1.28,4.915502959,0.833333333,4.096252465,0.819250493,0.027091617,0.166666667,0.2843,0.047383333
CO170,CAROVA,19-Dec-17,16-Jun-19,17-Jun-19,H3,1.5,7.31,4.95,2.37,246,1.28,2.06,1.47,1.29,1.45,1.31,0.19,0.577307692,0.124999999,0.072163462,0.505144231,0.089293172,0.875000001,0.1947,0.1703625
CO171,CAROVA,19-Dec-17,18-Jan-19,24-Jan-19,H2,1.0,6.75,5,1.09,218,1.28,1.98,1.47,1.29,1.41,1.29,0.19,0.295857143,0,0,0.295857143,0.059171429,1,0.288,0.288
CO172,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.46,5.01,13.66,220,1.3,4.19,2.18,1.27,1.35,1.29,0.88,4.159446367,0.25,1.039861592,3.119584775,0.467003709,0.75,0.2603,0.195225
CO173,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,7.21,4.94,14.49,559,1.32,4.39,1.94,1.28,1.34,1.29,0.62,2.926319218,0.166666666,0.48771987,2.438599349,0.411369661,0.833333334,0.2603,0.216916667
CO174,CAROVA,19-Dec-17,20-Jun-18,21-Jun-18,H1,0.5,7.27,4.97,16.81,86,1.31,4.02,1.95,1.28,1.35,1.28,0.64,3.969889299,0,0,3.969889299,0.798770483,1,0.3653,0.3653
